csv,out_dir,T,duration_sec,dt_median_sec,hip_dz_total_m,hip_z_range_m,hip_y_range_m,ankle_y_min_m,ankle_y_mean_m,double_contact_rate,no_contact_rate,contact_L_rate,contact_R_rate,support_R_rate,switch_rate_from_support,switch_count_from_support,switch_rate_from_support_switch,switch_count_from_support_switch,bone_mean_L_HIP_L_KNEE,bone_cv_L_HIP_L_KNEE,bone_mean_L_KNEE_L_ANKLE,bone_cv_L_KNEE_L_ANKLE,bone_mean_R_HIP_R_KNEE,bone_cv_R_HIP_R_KNEE,bone_mean_R_KNEE_R_ANKLE,bone_cv_R_KNEE_R_ANKLE,bone_mean_L_HIP_R_HIP,bone_cv_L_HIP_R_HIP,has_time_sec,has_contact,has_stance,has_support,has_support_switch
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_normal0_stage4.csv,outputs_final\stage_check\data_riku_normal0_stage4,155.0,5.133866000000001,0.033336999999999506,0.06954531633002675,0.2213787234652755,0.00017745262149337915,-0.0095069073348265,0.04635794507842449,,,,,,,,,,0.4052884700109631,3.099803665025702e-10,0.38187697555714173,0.0020158413522686786,0.40442416361188144,2.5319543320284413e-10,0.3950129200374232,0.007603360609810372,0.23221335360261394,0.012500597224493811,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_normal0_stage5.csv,outputs_final\stage_check\data_riku_normal0_stage5,155.0,5.133866000000001,0.033336999999999506,0.06954531633002675,0.2213787234652755,0.00017745262149337915,-0.0095069073348265,0.04635794507842449,,,,,,,,,,0.4052884700109631,3.099803665025702e-10,0.38095320585503123,0.003968167306859243,0.40442416361188144,2.5319543320284413e-10,0.39429279290453423,0.008048648626151723,0.23221335360261394,0.012500597224493811,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_normal0_stage6.csv,outputs_final\stage_check\data_riku_normal0_stage6,155.0,5.133866000000001,0.033336999999999506,0.06954531633002675,0.2213787234652755,0.00017745262149337915,-0.0095069073348265,0.04635794507842449,,,,,,,,,,0.4052884700109631,3.099803665025702e-10,0.38090858977800235,0.016746662148069243,0.40442416361188144,2.5319543320284413e-10,0.3943980939678906,0.016674075095868213,0.23221335360261394,0.012500597224493811,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_normal0_stage7.csv,outputs_final\stage_check\data_riku_normal0_stage7,155.0,5.133866000000001,0.033336999999999506,0.6173352139229451,0.7266500016355251,0.00017745262149337915,-0.0095069073348265,0.04635794507842449,,,,,,,,,,0.405288470010963,3.099803352845683e-10,0.38090858977800235,0.01674666214806922,0.40442416361188144,2.531954281204118e-10,0.3943980939678906,0.016674075095868192,0.23221335360261394,0.012500597224493815,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_processed.csv,outputs_final\stage_check\data_riku_quick0_processed,129.0,4.267211,0.03333799999999876,0.7886190786130424,0.8917155571524216,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,0.0,0.0,0.4806201550387597,0.5193798449612403,0.5193798449612403,0.171875,22.0,0.17054263565891473,22.0,0.4067260852396759,2.8074502944612775e-10,0.3806494782598399,0.016019648924963967,0.4030943942672259,2.886778435890248e-10,0.3830015601555188,0.027528154197109536,0.23324072771674723,0.00870967756118746,True,True,True,True,True
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_raw.csv,outputs_final\stage_check\data_riku_quick0_raw,129.0,4.267211,0.03333799999999876,0.0643081647183165,0.20516834871986206,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,,,,,,,,,,0.4067260852396759,2.807450336098621e-10,0.3806494782598399,0.01601964892496398,0.4030943942672259,2.886778485059705e-10,0.3830015601555188,0.02752815419710955,0.23324072771674723,0.008709677561187457,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_stage0.csv,outputs_final\stage_check\data_riku_quick0_stage0,129.0,4.267211,0.03333799999999876,0.00015023932792246342,0.00031777552794659547,0.0002486956655047834,-0.1243864297866821,-0.005709235404812998,,,,,,,,,,0.4035708305804565,0.03276831843340205,0.38299178259775274,0.03129215924372841,0.40180437464159136,0.026596032291451015,0.38658881935464456,0.039250944879115644,0.233240727949946,0.008709677561093946,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_stage1.csv,outputs_final\stage_check\data_riku_quick0_stage1,129.0,4.267211,0.03333799999999876,0.0001886923213776006,0.0003430800028359996,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,,,,,,,,,,0.4035708302091077,0.0327683184331524,0.3829917822452206,0.031292159242828535,0.4018043742728448,0.026596032291548565,0.3865888189993638,0.03925094487103098,0.2332407277167472,0.008709677561187465,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_stage2.csv,outputs_final\stage_check\data_riku_quick0_stage2,129.0,4.267211,0.03333799999999876,0.0001886923213776006,0.0003430800028359996,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,,,,,,,,,,0.4067260852565845,2.4210398407740616e-10,0.38062167764177,0.006795524555606342,0.40309439425589355,2.5115739793435086e-10,0.3839547437037479,0.010649795454589307,0.2332407277167472,0.008709677561187465,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_stage3.csv,outputs_final\stage_check\data_riku_quick0_stage3,129.0,4.267211,0.03333799999999876,0.0643081647183165,0.20516834871986206,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,,,,,,,,,,0.4065374397496281,0.04377969264236492,0.38062167764177,0.006795524555606342,0.40681903181699525,0.025985823149984363,0.3839547437037479,0.010649795454589307,0.23324072771674723,0.008709677561187457,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_stage4.csv,outputs_final\stage_check\data_riku_quick0_stage4,129.0,4.267211,0.03333799999999876,0.0643081647183165,0.20516834871986206,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,,,,,,,,,,0.4067260852396759,2.807450336098621e-10,0.38059970306019936,0.006111037120739667,0.4030943942672259,2.886778485059705e-10,0.3854074146642405,0.016119318428246942,0.23324072771674723,0.008709677561187457,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_stage5.csv,outputs_final\stage_check\data_riku_quick0_stage5,129.0,4.267211,0.03333799999999876,0.0643081647183165,0.20516834871986206,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,,,,,,,,,,0.4067260852396759,2.807450336098621e-10,0.38016812560060115,0.0068721778314075575,0.4030943942672259,2.886778485059705e-10,0.3844456572171233,0.01685417438223789,0.23324072771674723,0.008709677561187457,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_stage6.csv,outputs_final\stage_check\data_riku_quick0_stage6,129.0,4.267211,0.03333799999999876,0.0643081647183165,0.20516834871986206,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,,,,,,,,,,0.4067260852396759,2.807450336098621e-10,0.3806494782598399,0.01601964892496398,0.4030943942672259,2.886778485059705e-10,0.3830015601555188,0.02752815419710955,0.23324072771674723,0.008709677561187457,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_quick0_stage7.csv,outputs_final\stage_check\data_riku_quick0_stage7,129.0,4.267211,0.03333799999999876,0.7886190786130424,0.8917155571524216,0.0001697640250037935,-0.0172574086932185,0.04628976723765616,,,,,,,,,,0.4067260852396759,2.8074502944612775e-10,0.3806494782598399,0.016019648924963967,0.4030943942672259,2.886778435890248e-10,0.3830015601555188,0.027528154197109536,0.23324072771674723,0.00870967756118746,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_processed.csv,outputs_final\stage_check\data_riku_slow0_processed,249.0,8.267973999999999,0.03333899999999801,0.6202499461464299,0.8252498499749035,0.00024435716075987823,-0.016956340244234,0.03994112338077262,0.012048192771084338,0.0,0.4899598393574297,0.5220883534136547,0.5421686746987951,0.1532258064516129,38.0,0.15261044176706828,38.0,0.40929624499975675,2.76550719436505e-10,0.38663387638487706,0.02262143632195414,0.40731593088851153,2.1730104148280657e-10,0.3930115481502905,0.01625959593070678,0.23188317882178144,0.011347750939383904,True,True,True,True,True
